# x[m] y[m]
73.0013 12.6337
73.0961 12.6492
73.1909 12.6647
73.2857 12.6801
73.3805 12.6956
73.4753 12.7111
73.5700 12.7265
73.6648 12.7420
73.7596 12.7575
73.8543 12.7729
73.9491 12.7884
74.0438 12.8038
74.1386 12.8193
74.2333 12.8347
74.3280 12.8502
74.4228 12.8656
74.5175 12.8810
74.6122 12.8965
74.7069 12.9119
74.8016 12.9273
74.8964 12.9427
74.9911 12.9582
75.0858 12.9736
75.1805 12.9890
75.2751 13.0044
75.3698 13.0198
75.4645 13.0352
75.5592 13.0506
75.6539 13.0660
75.7485 13.0814
75.8432 13.0968
75.9378 13.1122
76.0325 13.1276
76.1272 13.1429
76.2218 13.1583
76.3164 13.1737
76.4111 13.1891
76.5057 13.2044
76.6003 13.2198
76.6950 13.2352
76.7896 13.2505
76.8842 13.2659
76.9788 13.2812
77.0734 13.2966
77.1680 13.3119
77.2626 13.3273
77.3572 13.3426
77.4518 13.3579
77.5463 13.3733
77.6409 13.3886
77.7355 13.4039
77.8301 13.4192
77.9246 13.4346
78.0192 13.4499
78.1137 13.4652
78.2083 13.4805
78.3028 13.4958
78.3974 13.5111
78.4919 13.5264
78.5864 13.5417
78.6810 13.5570
78.7755 13.5723
78.8700 13.5876
78.9645 13.6029
79.0590 13.6182
79.1535 13.6334
79.2480 13.6487
79.3425 13.6640
79.4370 13.6792
79.5315 13.6945
79.6260 13.7098
79.7205 13.7250
79.8149 13.7403
79.9094 13.7555
80.0039 13.7708
80.0983 13.7860
80.1928 13.8013
80.2872 13.8165
80.3817 13.8318
80.4761 13.8470
80.5706 13.8622
80.6650 13.8775
80.7594 13.8927
80.8538 13.9079
80.9483 13.9231
81.0427 13.9383
81.1371 13.9535
81.2315 13.9688
81.3259 13.9840
81.4203 13.9992
81.5147 14.0144
81.6091 14.0296
81.7034 14.0447
81.7978 14.0599
81.8922 14.0751
81.9866 14.0903
82.0809 14.1055
82.1753 14.1207
82.2696 14.1358
82.3640 14.1510
82.4583 14.1662
82.5527 14.1813
82.6470 14.1965
82.7413 14.2117
82.8357 14.2268
82.9300 14.2420
83.0243 14.2571
83.1186 14.2723
83.2129 14.2874
83.3072 14.3025
83.4015 14.3177
